,Place,Date,Temperature,Humidity
356,DEUSTU,2020-03-15 07:00:10,"8,8","66,92"
357,DEUSTU,2020-03-15 07:00:10,"8,8","71,40"
358,DEUSTU,2020-03-15 07:00:10,"8,6","74,41"
359,DEUSTU,2020-03-15 07:00:10,"8,6","78,40"
360,DEUSTU,2020-03-15 07:00:10,"8,5","80,60"
361,DEUSTU,2020-03-15 07:00:10,"8,4","81,10"
362,DEUSTU,2020-03-15 07:00:10,"8,5","81,40"
363,DEUSTU,2020-03-15 07:00:10,"8,6","81,40"
364,DEUSTU,2020-03-15 07:00:10,"8,7","81,10"
365,DEUSTU,2020-03-15 07:00:10,"9,0","80,70"
366,DEUSTU,2020-03-15 07:00:10,"9,2","79,74"
367,DEUSTU,2020-03-15 07:00:10,"9,3","79,13"
368,DEUSTU,2020-03-15 07:00:10,"9,6","78,16"
369,DEUSTU,2020-03-15 07:00:10,"9,7","77,56"
370,DEUSTU,2020-03-15 07:00:10,"9,7","77,03"
371,DEUSTU,2020-03-15 07:00:10,"9,8","76,39"
372,DEUSTU,2020-03-15 07:00:10,"10,0","76,17"
373,DEUSTU,2020-03-15 07:00:10,"10,1","76,62"
374,DEUSTU,2020-03-15 07:00:10,"10,1","76,93"
375,DEUSTU,2020-03-15 07:00:10,"10,4","76,85"
376,DEUSTU,2020-03-15 07:00:10,"10,5","77,37"
377,DEUSTU,2020-03-15 07:00:10,"10,5","77,12"
378,DEUSTU,2020-03-15 07:00:10,"10,5","77,40"
379,DEUSTU,2020-03-15 07:00:10,"10,5","78,02"
380,DEUSTU,2020-03-15 07:00:10,"10,4","78,13"
381,DEUSTU,2020-03-15 07:00:10,"10,4","77,35"
382,DEUSTU,2020-03-15 07:00:10,"10,4","76,23"
383,DEUSTU,2020-03-15 07:00:10,"10,5","75,77"
384,DEUSTU,2020-03-15 07:00:10,"10,5","75,74"
385,DEUSTU,2020-03-15 07:00:10,"10,5","75,54"
386,DEUSTU,2020-03-15 07:00:10,"10,5","76,08"
387,DEUSTU,2020-03-15 07:00:10,"10,5","75,90"
388,DEUSTU,2020-03-15 07:00:10,"10,5","77,22"
